#
# 3-day summary product timeseries for NEON.D01.HARV.DP1.00033
#
# Site: NEON.D01.HARV.DP1.00033
# Veg Type: EN
# ROI ID Number: 2000
# Lat: 42.536911
# Lon: -72.17265
# Elev: 359
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-03-01
# Creation Time: 11:31:35
# Update Date: 2024-10-29
# Update Time: 11:46:20
# Final Processing Date:: 2024-10-29
# Final Processing Time:: 15:07:50
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2021-11-18,2021,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38335,0.38316,0.38619,0.38851,0.37726,0.38568,0.39266,0.39871,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-19,2021,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38335,0.38316,0.38619,0.38851,0.37726,0.38568,0.39266,0.39871,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-20,2021,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38271,0.38269,0.38564,0.38795,0.37718,0.38541,0.39303,0.39923,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-21,2021,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38207,0.38221,0.3851,0.38739,0.3771,0.38516,0.39338,0.39973,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-22,2021,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38142,0.38172,0.38455,0.38684,0.37703,0.38491,0.39372,0.4002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-23,2021,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38077,0.38122,0.38401,0.3863,0.37696,0.38467,0.39403,0.40066,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-24,2021,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38012,0.38072,0.38348,0.38576,0.3769,0.38444,0.39433,0.4011,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-25,2021,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37947,0.38022,0.38296,0.38523,0.37684,0.38422,0.39461,0.40151,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-26,2021,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37884,0.37971,0.38244,0.38472,0.3768,0.38401,0.39487,0.4019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-27,2021,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37821,0.3792,0.38194,0.38422,0.37677,0.38381,0.3951,0.40227,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-28,2021,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37761,0.3787,0.38146,0.38372,0.37674,0.38363,0.39532,0.40261,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-29,2021,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37699,0.37818,0.38097,0.38324,0.37673,0.38346,0.39552,0.40292,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-30,2021,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37634,0.37765,0.38049,0.38277,0.37672,0.3833,0.39569,0.40321,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
