#
# 3-day summary product timeseries for NEON.D11.CLBJ.DP1.00033
#
# Site: NEON.D11.CLBJ.DP1.00033
# Veg Type: DB
# ROI ID Number: 3000
# Lat: 33.40123
# Lon: -97.57
# Elev: 279
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-09-05
# Creation Time: 17:24:42
# Update Date: 2025-03-04
# Update Time: 11:45:26
# Final Processing Date:: 2025-03-04
# Final Processing Time:: 18:19:23
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2023-10-25,2023,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36625,0.36642,0.36841,0.36935,0.40399,0.40744,0.41585,0.42152,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-10-26,2023,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36625,0.36642,0.36841,0.36935,0.40399,0.40744,0.41585,0.42152,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-10-27,2023,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36763,0.36768,0.36991,0.37128,0.40196,0.40491,0.41291,0.41871,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-10-28,2023,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36885,0.36879,0.37124,0.373,0.40013,0.40262,0.41024,0.41613,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-10-29,2023,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36991,0.36974,0.37239,0.37452,0.39855,0.4006,0.40786,0.41379,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-10-30,2023,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37081,0.37055,0.37338,0.37582,0.3972,0.39884,0.40577,0.41169,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-10-31,2023,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37157,0.37121,0.3742,0.37693,0.39602,0.39731,0.40396,0.40983,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-11-01,2023,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37218,0.37175,0.37488,0.37785,0.39501,0.396,0.4024,0.4082,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-11-02,2023,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37266,0.37216,0.37541,0.3786,0.39417,0.39489,0.40109,0.4068,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-11-03,2023,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37302,0.37244,0.37581,0.37918,0.3935,0.39399,0.40002,0.40562,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
