#
# 3-day summary product timeseries for bigtraillake
#
# Site: bigtraillake
# Veg Type: EN
# ROI ID Number: 1000
# Lat: 64.9194
# Lon: -147.822
# Elev: 190
# UTC Offset: -9
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 50
# ROI Brightness Max: 765
# Creation Date: 2022-07-28
# Creation Time: 05:33:42
# Update Date: 2025-03-04
# Update Time: 11:01:58
# Final Processing Date:: 2025-03-04
# Final Processing Time:: 16:41:16
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2020-05-16,2020,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33297,0.33457,0.33659,0.33759,0.41867,0.40997,0.4373,0.44511,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-05-17,2020,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33302,0.33452,0.33663,0.33758,0.41714,0.40955,0.43459,0.44392,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-05-18,2020,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33317,0.33457,0.33677,0.33767,0.4157,0.40914,0.43204,0.44279,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-05-19,2020,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33342,0.33471,0.33699,0.33786,0.41437,0.40876,0.42965,0.44171,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-05-20,2020,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33375,0.33494,0.33731,0.33816,0.41313,0.40838,0.42741,0.44069,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-05-21,2020,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33418,0.33527,0.33771,0.33856,0.41197,0.408,0.42532,0.43974,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-05-22,2020,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33468,0.33568,0.3382,0.33905,0.41091,0.40762,0.42339,0.43886,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-05-23,2020,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33529,0.33619,0.33877,0.33964,0.40995,0.40725,0.42163,0.43804,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-05-24,2020,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.336,0.3368,0.33945,0.34035,0.40909,0.40689,0.42003,0.43726,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2020-05-25,2020,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3368,0.3375,0.34021,0.34117,0.40833,0.40655,0.4186,0.43652,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
