#
# 3-day summary product timeseries for flagstaff2
#
# Site: flagstaff2
# Veg Type: EN
# ROI ID Number: 5000
# Lat: 35.179225
# Lon: -111.604506
# Elev: 6983
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-04-06
# Creation Time: 20:24:01
# Update Date: 2024-10-29
# Update Time: 11:17:22
# Final Processing Date:: 2024-10-29
# Final Processing Time:: 14:47:22
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2023-11-18,2023,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37159,0.37257,0.37854,0.38087,0.42501,0.42633,0.43598,0.44184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-11-19,2023,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37159,0.37257,0.37854,0.38087,0.42501,0.42633,0.43598,0.44184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-11-20,2023,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37159,0.37257,0.37854,0.38087,0.42501,0.42633,0.43598,0.44184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-11-21,2023,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37159,0.37257,0.37854,0.38087,0.42501,0.42633,0.43598,0.44184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-11-22,2023,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37159,0.37257,0.37854,0.38087,0.42501,0.42633,0.43598,0.44184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-11-23,2023,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37159,0.37257,0.37854,0.38087,0.42501,0.42633,0.43598,0.44184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-11-24,2023,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37159,0.37257,0.37854,0.38087,0.42501,0.42633,0.43598,0.44184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-11-25,2023,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37159,0.37257,0.37854,0.38087,0.42501,0.42633,0.43598,0.44184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-11-26,2023,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37159,0.37257,0.37854,0.38087,0.42501,0.42633,0.43598,0.44184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-11-27,2023,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37159,0.37257,0.37854,0.38087,0.42501,0.42633,0.43598,0.44184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
