#
# 3-day summary product timeseries for flagstaff
#
# Site: flagstaff
# Veg Type: EN
# ROI ID Number: 1001
# Lat: 35.17961521
# Lon: -111.60490323
# Elev: 6983
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-05-15
# Creation Time: 14:18:02
# Update Date: 2025-03-04
# Update Time: 11:15:21
# Final Processing Date:: 2025-03-04
# Final Processing Time:: 16:54:38
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2023-12-30,2023,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34228,0.34323,0.34442,0.34549,0.42185,0.42079,0.42842,0.44251,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-12-31,2023,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34228,0.34323,0.34442,0.34549,0.42185,0.42079,0.42842,0.44251,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-01,2024,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34192,0.34296,0.34417,0.34525,0.42164,0.42062,0.42813,0.44225,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-02,2024,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34158,0.3427,0.34394,0.34502,0.42144,0.42047,0.42788,0.44198,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-03,2024,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34125,0.34245,0.34372,0.3448,0.42128,0.42036,0.42767,0.44172,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-04,2024,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34094,0.34222,0.34351,0.34459,0.42115,0.42027,0.4275,0.44145,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-05,2024,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34065,0.34199,0.34331,0.34439,0.42106,0.42021,0.42737,0.44118,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-06,2024,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34038,0.34178,0.34313,0.3442,0.42101,0.42019,0.42729,0.44092,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-07,2024,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34012,0.34157,0.34297,0.34402,0.42099,0.42019,0.42725,0.44066,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-08,2024,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33987,0.34137,0.34281,0.34384,0.42101,0.42023,0.42725,0.4404,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-09,2024,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33965,0.34119,0.34267,0.34368,0.42105,0.42029,0.42728,0.44016,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-10,2024,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33944,0.34102,0.34253,0.34353,0.42112,0.42037,0.42736,0.43992,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-11,2024,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33924,0.34085,0.34241,0.34339,0.42121,0.42047,0.42746,0.43969,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-12,2024,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33907,0.34071,0.34229,0.34325,0.42132,0.42058,0.42759,0.43947,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-13,2024,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33891,0.34057,0.34219,0.34313,0.42144,0.42071,0.42775,0.43926,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-14,2024,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33878,0.34045,0.34209,0.34301,0.42158,0.42085,0.42793,0.43907,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-15,2024,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33866,0.34034,0.34201,0.3429,0.42174,0.42101,0.42813,0.43888,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-16,2024,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33856,0.34024,0.34193,0.34278,0.42193,0.4212,0.42835,0.43868,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-01-17,2024,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33848,0.34016,0.34185,0.34267,0.42214,0.42142,0.4286,0.43847,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
