#
# 3-day summary product timeseries for parkschoolbuffalo
#
# Site: parkschoolbuffalo
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 42.9637
# Lon: -78.7834
# Elev: 205
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2022-07-28
# Creation Time: 06:08:38
# Update Date: 2024-10-29
# Update Time: 12:09:47
# Final Processing Date:: 2024-10-29
# Final Processing Time:: 15:45:23
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2021-01-08,2021,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33578,0.33595,0.33711,0.3382,0.33743,0.3351,0.3496,0.35938,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-01-09,2021,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33587,0.33608,0.33728,0.33842,0.3373,0.33558,0.35001,0.36006,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-01-10,2021,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33596,0.3362,0.33744,0.33861,0.33727,0.33607,0.35043,0.36073,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-01-11,2021,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33603,0.3363,0.33758,0.33879,0.33734,0.33657,0.35087,0.36139,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-01-12,2021,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33609,0.3364,0.33771,0.33894,0.3375,0.33709,0.35132,0.36205,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-01-13,2021,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33615,0.33649,0.33782,0.33908,0.3377,0.33763,0.35178,0.3627,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-01-14,2021,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3362,0.33657,0.33792,0.33921,0.33794,0.33819,0.35227,0.36334,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-01-15,2021,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33625,0.33665,0.33802,0.33932,0.33823,0.33876,0.35278,0.36398,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-01-16,2021,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33629,0.33672,0.3381,0.33941,0.33856,0.33936,0.3533,0.36461,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-01-17,2021,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33634,0.33678,0.33817,0.3395,0.33894,0.33999,0.35386,0.36524,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-01-18,2021,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33638,0.33684,0.33824,0.33957,0.33938,0.34064,0.35443,0.36587,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
