#
# 3-day summary product timeseries for segabluechute
#
# Site: segabluechute
# Veg Type: GR
# ROI ID Number: 2000
# Lat: 35.5876
# Lon: -111.9716
# Elev: 1930
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-12-12
# Creation Time: 11:59:32
# Update Date: 2025-03-04
# Update Time: 12:01:28
# Final Processing Date:: 2025-03-04
# Final Processing Time:: 19:07:15
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2024-04-07,2024,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43948,0.44953,0.44285,0.44176,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-08,2024,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43927,0.44858,0.44259,0.44173,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-09,2024,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43907,0.44765,0.44236,0.44169,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-10,2024,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43888,0.44674,0.44213,0.44166,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-11,2024,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.4387,0.44585,0.44191,0.44163,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-12,2024,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43853,0.44499,0.4417,0.4416,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-13,2024,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43835,0.44414,0.44149,0.44157,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-14,2024,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43818,0.44331,0.44128,0.44155,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-15,2024,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.438,0.44249,0.44106,0.44152,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-16,2024,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43782,0.44168,0.44084,0.44149,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-17,2024,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43763,0.44088,0.44061,0.44146,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-18,2024,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43743,0.44009,0.44036,0.44143,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-19,2024,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43722,0.43931,0.4401,0.4414,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-20,2024,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.437,0.43854,0.43984,0.44137,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-21,2024,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43679,0.4378,0.43957,0.44134,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-22,2024,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43658,0.43707,0.43932,0.44132,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-23,2024,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43637,0.43636,0.43906,0.44129,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2024-04-24,2024,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3206,0.32078,0.32157,0.3222,0.43617,0.43568,0.43881,0.44126,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
