"Veg_Type","Phen_Metric","Drought_Index","Drought_Metric","Slope","Error","Adjusted_R2","F_Statistic","P_Value","significant"
"AG","Peak_GCC","SPEI","Mean_SPEI_3month",0.0079625315630152,0.00366798363018196,0.0160218346088279,4.71245868993499,0.0309818881449836,"yes"
"DB","Peak_GCC","SPEI","Mean_SPEI_3month",0.00348392415293233,0.00243757564661042,0.00258726390347752,2.04277803115727,0.153708676068696,NA
"EN","Peak_GCC","SPEI","Mean_SPEI_3month",0.00120722275760379,0.00262788614554986,-0.00339760539725975,0.211038522213671,0.646384789842642,NA
"GR","Peak_GCC","SPEI","Mean_SPEI_3month",0.00540745716054921,0.00333501713457853,0.00556676435990588,2.62899666933382,0.106014701901043,NA
"SH","Peak_GCC","SPEI","Mean_SPEI_3month",0.000991753931717474,0.00634074271391045,-0.00894786322961383,0.024464007379993,0.875999385900453,NA
"AG","Peak_GCC","SPEI","Mean_May_Sept_SPEI_3month",0.0062387001785926,0.00284191570009033,0.0164744794575729,4.81909898408638,0.0291592910021556,"yes"
"DB","Peak_GCC","SPEI","Mean_May_Sept_SPEI_3month",0.00334029109515493,0.00197507969068187,0.00460609773666665,2.86021964363022,0.0915720732451342,NA
"EN","Peak_GCC","SPEI","Mean_May_Sept_SPEI_3month",0.00194803090544038,0.00204778997242221,-0.000408139719775491,0.90494224213897,0.342449941358288,NA
"GR","Peak_GCC","SPEI","Mean_May_Sept_SPEI_3month",0.004860502890028,0.00265035083407664,0.00805562157401551,3.36322310910039,0.0676920905119144,NA
"SH","Peak_GCC","SPEI","Mean_May_Sept_SPEI_3month",0.00336492843479845,0.00539707651746889,-0.00558816425911557,0.388717876412545,0.534276602798546,NA
"AG","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_3month",0.000656327369714313,0.0029504895619215,-0.00418638857292386,0.0494826403860005,0.824165990024145,NA
"DB","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_3month",0.00126158503197217,0.0017214549288359,-0.00115286135013104,0.537083415885512,0.464072141981358,NA
"EN","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_3month",0.000142409779745583,0.00217259903635559,-0.00429174570860424,0.00429655587856811,0.947794042996468,NA
"GR","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_3month",0.00253273868977428,0.00243583787876316,0.000278771623627438,1.08114516344449,0.299307629672721,NA
"SH","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_3month",-0.00186567124363172,0.00353739534992804,-0.0066054791957082,0.278165352220748,0.598978133357148,NA
"AG","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_3month",0.00561863738436448,0.00295820239971954,0.0113070874620291,3.60749916242941,0.0587873528000487,NA
"DB","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_3month",0.00365759381593685,0.00191021391416148,0.00658886377411694,3.66629106580978,0.0562348338930415,NA
"EN","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_3month",0.00285324155900178,0.00202396707472413,0.00421959148032613,1.98733094817319,0.159959357641716,NA
"GR","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_3month",0.00151582059126781,0.00276821474419157,-0.00241183569027048,0.299844474217048,0.584401118220446,NA
"SH","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_3month",0.00108314434834815,0.00507643016275491,-0.00875298988384143,0.0455256173927745,0.831439035673766,NA
"AG","Peak_GCC","SPEI","Prev_Year_Mean_SPEI_3month",0.00694738832981986,0.00369223403574524,0.0110197595273814,3.54050088103102,0.0611670618240821,NA
"DB","Peak_GCC","SPEI","Prev_Year_Mean_SPEI_3month",0.00525751003448608,0.00235815969552315,0.00978065023352614,4.9706570012036,0.0263340204114868,"yes"
"EN","Peak_GCC","SPEI","Prev_Year_Mean_SPEI_3month",0.00223878897167588,0.00257225952735604,-0.00104175100811776,0.757524614086302,0.3850039534145,NA
"GR","Peak_GCC","SPEI","Prev_Year_Mean_SPEI_3month",0.00326281667791077,0.00334635140849542,-0.000169453826538435,0.950697291009959,0.330354483805227,NA
"SH","Peak_GCC","SPEI","Prev_Year_Mean_SPEI_3month",-0.00138744837967608,0.00639350075561305,-0.00873849075768907,0.0470929857908041,0.828606854915325,NA
"AG","Peak_GCC","SPEI","Mean_SPEI_6month",0.00629068560633462,0.00300793115927695,0.0145816529990008,4.37381264910508,0.0376073709688257,"yes"
"DB","Peak_GCC","SPEI","Mean_SPEI_6month",0.00280764013396115,0.00192835007473207,0.00277803034841251,2.11987925862883,0.146180470258174,NA
"EN","Peak_GCC","SPEI","Mean_SPEI_6month",0.00124977384795495,0.00212063714965197,-0.00280906930742364,0.347320273956344,0.556207436499473,NA
"GR","Peak_GCC","SPEI","Mean_SPEI_6month",0.00496588853211718,0.00267054147111349,0.00837518636742651,3.45776345994519,0.0639679922692544,NA
"SH","Peak_GCC","SPEI","Mean_SPEI_6month",0.00208229068442484,0.00520474319408488,-0.00769456815679215,0.16006047467802,0.689883817682238,NA
"AG","Peak_GCC","SPEI","Mean_May_Sept_SPEI_6month",0.00631485044132325,0.00242170839515317,0.0248057992199581,6.79958557754603,0.00972257641337023,"yes"
"DB","Peak_GCC","SPEI","Mean_May_Sept_SPEI_6month",0.00231724093569859,0.00165983061084251,0.00235517014977793,1.94901348845042,0.163465582804835,NA
"EN","Peak_GCC","SPEI","Mean_May_Sept_SPEI_6month",0.00202706491928256,0.00176877875857074,0.00134314467276075,1.31337361485465,0.252965440330863,NA
"GR","Peak_GCC","SPEI","Mean_May_Sept_SPEI_6month",0.00311151639431334,0.00219998665513648,0.00342582224898125,2.00034126581852,0.158336505255634,NA
"SH","Peak_GCC","SPEI","Mean_May_Sept_SPEI_6month",0.000597657628071024,0.00415528298778297,-0.00898281535923684,0.0206872956857493,0.88589966968637,NA
"AG","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_6month",0.00108095554962759,0.0024487502833251,-0.00354382229620498,0.194861783229355,0.659320813862815,NA
"DB","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_6month",0.00162230559077029,0.00139284280602461,0.000886350674915937,1.35662906973282,0.244814982738767,NA
"EN","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_6month",0.00055735392568417,0.00167052983248393,-0.00382870179578632,0.111314991469823,0.738953329338583,NA
"GR","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_6month",0.00274726189100198,0.00196219985277786,0.00328900877185878,1.96025985569954,0.162554443700904,NA
"SH","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_6month",0.000526216763180204,0.00296360926144573,-0.00888250099137666,0.031527350220339,0.859398537048411,NA
"AG","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_6month",0.00595426791105315,0.00253590039230814,0.0194099013281568,5.51305546406576,0.0197346901040091,"yes"
"DB","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_6month",0.00343947922388505,0.0016395287483323,0.0083891238591588,4.40095885646866,0.0365440642004222,"yes"
"EN","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_6month",0.00256669207399159,0.001742818502732,0.00499177438811538,2.1689184094088,0.142180597986759,NA
"GR","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_6month",0.00131966790340531,0.00229349839065057,-0.00230399169020012,0.331079605182798,0.56547024730275,NA
"SH","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_6month",-0.000474662329219075,0.00425510412725692,-0.00905911543310967,0.0124436889761982,0.911384358622929,NA
"AG","Peak_GCC","SPEI","Prev_Year_Mean_SPEI_6month",0.00597839334894497,0.0030726334414666,0.0120705526693481,3.7857110809354,0.0529264106657059,NA
"DB","Peak_GCC","SPEI","Prev_Year_Mean_SPEI_6month",0.00444325204130763,0.00187813723442255,0.0113057828147357,5.59689620160093,0.0184671892057768,"yes"
"EN","Peak_GCC","SPEI","Prev_Year_Mean_SPEI_6month",0.00235259635099014,0.00207662875682216,0.00121502214604119,1.2834445514348,0.25842899312694,NA
"GR","Peak_GCC","SPEI","Prev_Year_Mean_SPEI_6month",0.00258874223052184,0.00270938272056517,-0.000299303332969014,0.912928790809097,0.340134302860579,NA
"SH","Peak_GCC","SPEI","Prev_Year_Mean_SPEI_6month",0.000662194992566964,0.0051754153501832,-0.00902276196491902,0.0163712320935747,0.898424216863765,NA
"AG","Peak_GCC","SPEI","Mean_SPEI_12month",0.00517627588228893,0.00261486311509761,0.0126393164398414,3.91865393899723,0.0489613243627679,"yes"
"DB","Peak_GCC","SPEI","Mean_SPEI_12month",0.00239011397947281,0.00155938287806549,0.00334514888417869,2.34926333819003,0.126130758010581,NA
