"site","lat","lon","elev"
"alligatorriver",35.7879,-75.9038,1
"arbutuslake",43.98207,-74.23322,535
"arbutuslakeinlet",43.99336,-74.24527,527
"archboldavir",27.176064,-81.21958,8
"archboldavirx",27.166627,-81.219828,8
"archboldbahia",27.1656,-81.216112,8
"archboldpnot",27.187948,-81.200345,9
"archboldpnotx",27.180677,-81.20068,9
"archboldwet",27.19,-81.21,8
"arkansascornsoy",34.416,-91.6723,61
"arsbrooks10",41.9749,-93.6905,312
"arsbrooks11",41.9744,-93.6937,313
"arscolesnorth",42.4884,-93.5225,356
"arscolessouth",42.4816,-93.5235,352
"arsgacp1",31.5109,-83.6179,96
"arsgacp3",31.7563,-83.7516,139
"arsgacp4",31.7093,-83.7287,127
"arsgreatbasinltar098",43.1675,-116.7132,1426
"arsgreatbasinltar117",43.1432,-116.7357,1625
"arsgreatbasinltar177",43.0645,-116.7484,2114
"arsltarmdcr",39.0587,-75.8513,17
"arsltarmdcrnatw",39.0575,-75.7531,16
"arsltarmdcrprcw",39.0667,-75.7609,17
"arsltarmdcrresw",39.0549,-75.7532,16
"arsltarucbec1",40.7537,-78.0057,400
"arsltarucbec2",40.7558,-77.9999,396
"arsmnswanlake1",45.684508,-95.799703,370
"arsmorris1",45.6167,-96.1269,341
"arsmorris2",45.627,-96.127,338
"arsmorris3",45.6091,-96.1265,342
"arsope3ltar",39.0309,-76.8442,41
"ashburnham",42.6029,-71.926,292
"asuhighlands",36.2076,-81.7032,1016
"austincary",29.738,-82.2188,44
"barrow",71.28007453,-156.60914915,5
"bartlettir",44.0646,-71.2881,268
"bigtraillake",64.9194,-147.822,190
"bitterbrush001",48.154,-119.9456,667
"blackrockforest",41.3974,-74.0239,427
"bnzblackspruce",64.6963,-148.3235,102
"bnzrichfen",64.70134,-148.31195,97
"bnzthermokarstbog",64.6955,-148.3208,104
"boglakepeatland",47.5051,-93.4893,416
"bostoncommon",42.355912,-71.064145,10
"bostonu",42.35041,-71.10438,10
"bouldinalfalfa",38.0985,-121.4993,-5
"bouldincorn",38.109,-121.535,-5
"bozeman",45.783056,-110.777778,2332
"brackishimpoundment",33.2015,-79.2973,1
"bullshoals",36.562833,-93.06663,260
"burnssagebrush",43.4712,-119.6909,1398
"butte",45.95304,-112.47964,1682
"butterice",39.5793,-121.858,33
"cafboydnorthltar01",46.755104,-117.126052,795
"cafboydsouthltar01",46.751809,-117.128502,795
"cafcookeastltar01",46.78152,-117.0821,794
"cafcookwestltar01",46.784037,-117.09083,807
"caryinstitute",41.7839,-73.7341,127
"centralredwoods1",38.632272,-123.301511,200
"centralredwoods2",38.632272,-123.301511,200
"cperagm",40.8402,-104.7672,1644
"cperheavy",40.8153,-104.7386,1652
"cpertgm",40.833,-104.76,1644
"cperuvb",40.8055764,-104.7558542,1641
"cuny",40.8162,-73.9507,42
"delnortecounty1",41.6,-124.1,28
"delnortecounty2",41.6,-124.1,28
"doverdesaltmarsh",39.0888,-75.4368,0
"downerwoods",43.07938,-87.88076,213
"dukehw",35.973583,-79.100371,400
"ecb1",41.5348,-84.8068,275
"ecb2",41.5321,-84.808,275
"ecb4",41.1796,-83.0604,240
"elverde",18.320654,-65.8199,312
"flagstaff",35.17961521,-111.60490323,6983
"flagstaff2",35.179225,-111.604506,6983
"flagstaffchimneysprings",35.257296,-111.678542,2250
"forbes",39.232,-121.2972,360
"fortpaynealpasture1",34.3824,-85.6428,405
"fortpaynealpasture2",34.3824,-85.6447,403
"gcesapelo",31.4440444,-81.283528,0
"gilberttract",38.0015,-121.6691,6
"glees",41.3644,-106.2394,3150
"glennorganicrice",39.6805,-122.0026,2
"glennrice",39.5944,-122.0253,36
"goodnow",43.96018,-74.20994,820
"goodwater",39.22848,-92.11936,264
"goodwaterbau",39.23115,-92.15216,274
"grandteton",43.915017,-110.578036,2054
"grca1pj",36.0241,-112.2211,1978
"greenridge1",39.6905,-78.4067,285
"haha",21.37,-158.17,865
"harvard",42.5378,-72.1715,340
"harvardbarn",42.53532,-72.1899,350
"harvardbarn2",42.53532,-72.1899,350
"harvardems2",42.5378,-72.1715,340
"harvardfarmnorth",42.520465,-72.182242,355
"harvardfarmsouth",42.522466,-72.182339,355
"harvardgarden",42.5291,-72.1863,335
"harvardhemlock",42.539,-72.18,355
"harvardhemlock2",42.539407,-72.177976,355
"harvardlph",42.542,-72.185,380
"hawbeckereddy",40.6608,-77.848849,310
"hobcawclearcutlongleaf",33.3486,-79.232,4
"hobcawmaturelongleaf",33.3242,-79.2439,8
"homesteadsprings",37.2009,-92.9937,452
"honouliuli",21.37,-158.15,870
"howland1",45.2041,-68.7403,80
"howland2",45.2128,-68.7418,79
"hubbardbrook",43.9438,-71.701,253
"humnokericea",34.585192,-91.751684,61
"humnokericec",34.588853,-91.7516729,70
