"Veg_Type","Phen_Metric","Drought_Index","Drought_Metric","Slope","Error","Adjusted_R2","F_Statistic","P_Value","significant"
"AG","Peak_GCC","VPD","Mean_VPD_Anomaly",-0.0363747712264437,0.0257199776180753,0.00436740035244854,2.00013527149549,0.158655256577492,NA
"DB","Peak_GCC","VPD","Mean_VPD_Anomaly",-0.0339036897035839,0.023480648861544,0.00269135608556681,2.08484485018726,0.149548143027243,NA
"EN","Peak_GCC","VPD","Mean_VPD_Anomaly",-0.0286796389533806,0.0223393886326938,0.00277417344937791,1.64818057905789,0.200487446953656,NA
"GR","Peak_GCC","VPD","Mean_VPD_Anomaly",-0.0897786656668736,0.0237016532995428,0.0438574445508394,14.3479221184741,0.000184741241418752,"yes"
"SH","Peak_GCC","VPD","Mean_VPD_Anomaly",-0.0280504652926987,0.0293278040911347,-0.000775243840527962,0.914789236661344,0.340963400585159,NA
"AG","Peak_GCC","VPD","Mean_May_Sept_VPD_Anomaly",-0.0172548540118688,0.0141747980668741,0.0021086903498162,1.48179736120425,0.22475747528669,NA
"DB","Peak_GCC","VPD","Mean_May_Sept_VPD_Anomaly",-0.0182479884973138,0.0128992719449841,0.00248446370135347,2.00124195724314,0.157946389039298,NA
"EN","Peak_GCC","VPD","Mean_May_Sept_VPD_Anomaly",-0.0254561720317659,0.0122622372708628,0.0140057615057206,4.30969726133128,0.0389974582404553,"yes"
"GR","Peak_GCC","VPD","Mean_May_Sept_VPD_Anomaly",-0.0705434611891071,0.012763979499242,0.0921713856989281,30.545084629259,7.26938114156454e-08,"yes"
"SH","Peak_GCC","VPD","Mean_May_Sept_VPD_Anomaly",-0.0294429979734509,0.0149170021800497,0.025650534123654,3.89583855938606,0.050936337262001,NA
"AG","Peak_GCC","VPD","Mean_Oct_Feb_VPD_Anomaly",-0.0299661092399626,0.0324004839799964,-0.000634712683713401,0.855377301974153,0.356017694254845,NA
"DB","Peak_GCC","VPD","Mean_Oct_Feb_VPD_Anomaly",-0.0171670660233268,0.02629766692681,-0.00142953989429917,0.426145310663652,0.514260537242674,NA
"EN","Peak_GCC","VPD","Mean_Oct_Feb_VPD_Anomaly",0.00681785591644903,0.0232073910539204,-0.00393686993038056,0.0863063990843716,0.769189042666039,NA
"GR","Peak_GCC","VPD","Mean_Oct_Feb_VPD_Anomaly",0.0110981563322677,0.0220284820839079,-0.00257077091644864,0.253823911101286,0.614777824536115,NA
"SH","Peak_GCC","VPD","Mean_Oct_Feb_VPD_Anomaly",0.0289260120596181,0.0203569344890704,0.00917927495577164,2.01907461119144,0.158188286156665,NA
"AG","Peak_GCC","VPD","Prev_Year_Mean_May_Sept_VPD_Anomaly",-0.0174893505386221,0.0140071287601181,0.00244580511269155,1.55901079715941,0.213096301868077,NA
"DB","Peak_GCC","VPD","Prev_Year_Mean_May_Sept_VPD_Anomaly",-0.017465587024966,0.0130297833597269,0.00197808915060693,1.79676791651515,0.180862652223842,NA
"EN","Peak_GCC","VPD","Prev_Year_Mean_May_Sept_VPD_Anomaly",-0.0235418560372711,0.0120727696337765,0.0118848855130257,3.80248554438188,0.0523812027370362,NA
"GR","Peak_GCC","VPD","Prev_Year_Mean_May_Sept_VPD_Anomaly",-0.0373912435064629,0.0124526525120032,0.026808076988842,9.01604515953586,0.00290933275834584,"yes"
"SH","Peak_GCC","VPD","Prev_Year_Mean_May_Sept_VPD_Anomaly",-0.0225064228975934,0.014546182904677,0.0125136853216583,2.39394882229916,0.124704189178851,NA
"AG","Peak_GCC","VPD","Prev_Year_Mean_VPD_Anomaly",-0.0361671155175405,0.0258842424555966,0.00415958255671656,1.95234618551258,0.163698488997503,NA
"DB","Peak_GCC","VPD","Prev_Year_Mean_VPD_Anomaly",-0.0295451319502741,0.0237619476121394,0.00135635180202953,1.54599398434043,0.214454250462503,NA
"EN","Peak_GCC","VPD","Prev_Year_Mean_VPD_Anomaly",-0.0311124122458772,0.0221248295332892,0.00417757792860629,1.97745906879721,0.160996307062236,NA
"GR","Peak_GCC","VPD","Prev_Year_Mean_VPD_Anomaly",-0.0494514868597548,0.0233630392244864,0.0118182031004882,4.48022713333965,0.0351407535945128,"yes"
"SH","Peak_GCC","VPD","Prev_Year_Mean_VPD_Anomaly",-0.0149285960054962,0.0287818510778154,-0.00668963694351254,0.269029861059685,0.605034709034781,NA
"AG","Amplitude_GCC_yearly","VPD","Mean_VPD_Anomaly",-0.0177687191935775,0.0212345513547331,-0.00131661545726325,0.700206388646658,0.403594394067406,NA
"DB","Amplitude_GCC_yearly","VPD","Mean_VPD_Anomaly",-0.0174460510868271,0.0199837705892617,-0.000592021510923857,0.762148166010711,0.383179556552574,NA
"EN","Amplitude_GCC_yearly","VPD","Mean_VPD_Anomaly",-0.014542062561424,0.0143190026695119,0.000134739168298537,1.03139845681553,0.310888378459244,NA
"GR","Amplitude_GCC_yearly","VPD","Mean_VPD_Anomaly",-0.101454951719143,0.0215860452027092,0.0658884043872456,22.0902348330911,3.9803116466906e-06,"yes"
"SH","Amplitude_GCC_yearly","VPD","Mean_VPD_Anomaly",-0.0314849500983252,0.0178575196729428,0.0184788200204241,3.10859213688141,0.0806322050176895,NA
"AG","Amplitude_GCC_yearly","VPD","Mean_May_Sept_VPD_Anomaly",-0.0102063046279943,0.0116879375774409,-0.00104258743322494,0.762537640496609,0.383458339273547,NA
"DB","Amplitude_GCC_yearly","VPD","Mean_May_Sept_VPD_Anomaly",-0.0105969419025129,0.0109747727297653,-0.000168359661210316,0.932330808955483,0.334839946018258,NA
"EN","Amplitude_GCC_yearly","VPD","Mean_May_Sept_VPD_Anomaly",-0.014566036748426,0.00786405229457412,0.0103247234594979,3.43075746468298,0.0652630397262409,NA
"GR","Amplitude_GCC_yearly","VPD","Mean_May_Sept_VPD_Anomaly",-0.0768781178733369,0.0114590062398736,0.128305971489283,45.0102653230739,9.85869342959065e-11,"yes"
"SH","Amplitude_GCC_yearly","VPD","Mean_May_Sept_VPD_Anomaly",-0.0276395262174684,0.00887756099950801,0.07202840304711,9.69334920138278,0.00235269372295038,"yes"
"AG","Amplitude_GCC_yearly","VPD","Mean_Oct_Feb_VPD_Anomaly",-0.00347877253490841,0.0267231928514035,-0.00433030968430725,0.0169463188536366,0.896540861518617,NA
"DB","Amplitude_GCC_yearly","VPD","Mean_Oct_Feb_VPD_Anomaly",-0.00740180414262601,0.0223533238689278,-0.00221972837927997,0.109645536599433,0.740721013702963,NA
"EN","Amplitude_GCC_yearly","VPD","Mean_Oct_Feb_VPD_Anomaly",-0.000721842720300471,0.0148584115329407,-0.00430012800317492,0.002360154297846,0.961294674061651,NA
"GR","Amplitude_GCC_yearly","VPD","Mean_Oct_Feb_VPD_Anomaly",0.00271279457245744,0.0205768380331869,-0.00329718664499801,0.017381071154909,0.895201956914315,NA
"SH","Amplitude_GCC_yearly","VPD","Mean_Oct_Feb_VPD_Anomaly",0.0252044986914765,0.0124147529911278,0.0271168084405673,4.12173400845315,0.0447266121386645,"yes"
"AG","Amplitude_GCC_yearly","VPD","Prev_Year_Mean_May_Sept_VPD_Anomaly",-0.0109474641133739,0.0115481853769486,-0.000444633581107245,0.89866859885133,0.344147047934939,NA
"DB","Amplitude_GCC_yearly","VPD","Prev_Year_Mean_May_Sept_VPD_Anomaly",-0.00883401804318982,0.0110871033679392,-0.000909125467114968,0.634863517095319,0.426048424280311,NA
"EN","Amplitude_GCC_yearly","VPD","Prev_Year_Mean_May_Sept_VPD_Anomaly",-0.011543739698881,0.00775425582653107,0.00519272169813956,2.21621964581103,0.137925139263454,NA
"GR","Amplitude_GCC_yearly","VPD","Prev_Year_Mean_May_Sept_VPD_Anomaly",-0.0231652899544713,0.0119151282449292,0.00921161552369332,3.77988022946001,0.0528132475953798,NA
"SH","Amplitude_GCC_yearly","VPD","Prev_Year_Mean_May_Sept_VPD_Anomaly",-0.00873821862264978,0.00903275286739565,-0.000573109376959646,0.935848515597756,0.33545086857954,NA
"AG","Amplitude_GCC_yearly","VPD","Prev_Year_Mean_VPD_Anomaly",-0.0212192731172421,0.0213544776714599,-5.53661755733348e-05,0.98737721084483,0.321442270788241,NA
"DB","Amplitude_GCC_yearly","VPD","Prev_Year_Mean_VPD_Anomaly",-0.0167109772077414,0.0202116307016318,-0.000787688828030042,0.683598317202591,0.408842102111218,NA
"EN","Amplitude_GCC_yearly","VPD","Prev_Year_Mean_VPD_Anomaly",-0.0157132267805473,0.0141855130032203,0.000973253514785499,1.22698898677426,0.269140499272966,NA
"GR","Amplitude_GCC_yearly","VPD","Prev_Year_Mean_VPD_Anomaly",-0.0327315756558812,0.022283068971985,0.00385685303964101,2.15766399876521,0.14291502953537,NA
"SH","Amplitude_GCC_yearly","VPD","Prev_Year_Mean_VPD_Anomaly",0.00212989349045575,0.017764484438167,-0.00887835390440816,0.0143750894788976,0.904782145792946,NA
"AG","Cumulative_GCC_yearly","VPD","Mean_VPD_Anomaly",-3.84590091201772,3.61161998020665,0.000611248307638701,1.13394525318223,0.288113389338488,NA
"DB","Cumulative_GCC_yearly","VPD","Mean_VPD_Anomaly",-3.5726543464722,3.56021647812076,1.76748053968279e-05,1.00699934664922,0.31623710773655,NA
"EN","Cumulative_GCC_yearly","VPD","Mean_VPD_Anomaly",-2.29213282780765,2.86026937219443,-0.00156492033417299,0.642193182638546,0.423752080807222,NA
"GR","Cumulative_GCC_yearly","VPD","Mean_VPD_Anomaly",-11.0619648824233,3.13039574015392,0.0378507809805241,12.4872286209166,0.000476407652733897,"yes"
"SH","Cumulative_GCC_yearly","VPD","Mean_VPD_Anomaly",-3.9276462675371,2.39747175787949,0.0150769061837301,2.68384688167305,0.10425415600596,NA
"AG","Cumulative_GCC_yearly","VPD","Mean_May_Sept_VPD_Anomaly",-2.9790107024235,1.9879119170618,0.00565591201259052,2.24569024517902,0.135433748652748,NA
"DB","Cumulative_GCC_yearly","VPD","Mean_May_Sept_VPD_Anomaly",-3.81579433187556,1.94790117065228,0.00711415555121098,3.83739124092717,0.0508245987669039,NA
